CATEGORY,AREA_CD,AREA_NM,TOT_REG_CD,ADM_NM,ADM_CD,REG_AREA,AREA,RATE,Area to st,Area to _1
인구밀집지역,POI022,남구로역,"1117054020003",구로3동,"1117054",17074.77,5428.764,0.318,"437",광명
인구밀집지역,POI022,남구로역,"1117054020001",구로3동,"1117054",17989.98,17989.978,1.000,"437",광명
인구밀집지역,POI022,남구로역,"1117054020104",구로3동,"1117054",4140.07,3606.387,0.871,"437",광명
인구밀집지역,POI022,남구로역,"1117054020105",구로3동,"1117054",842.85,842.847,1.000,"437",광명
인구밀집지역,POI022,남구로역,"1117054020103",구로3동,"1117054",6444.36,6444.362,1.000,"437",광명
인구밀집지역,POI022,남구로역,"1117054020101",구로3동,"1117054",6096.91,6096.159,1.000,"437",광명
인구밀집지역,POI022,남구로역,"1117055020004",구로4동,"1117055",7663.40,7543.580,0.984,"437",광명
인구밀집지역,POI022,남구로역,"1117055020002",구로4동,"1117055",7872.04,2807.189,0.357,"437",광명
인구밀집지역,POI022,남구로역,"1117055020001",구로4동,"1117055",12055.91,10980.849,0.911,"437",광명
인구밀집지역,POI022,남구로역,"1117055020009",구로4동,"1117055",6806.53,6794.283,0.998,"437",광명
인구밀집지역,POI022,남구로역,"1117055020012",구로4동,"1117055",3778.34,916.759,0.243,"437",광명
인구밀집지역,POI022,남구로역,"1117055020101",구로4동,"1117055",7134.26,2130.019,0.299,"437",광명
인구밀집지역,POI022,남구로역,"1117055020104",구로4동,"1117055",3504.36,2392.582,0.683,"437",광명
인구밀집지역,POI022,남구로역,"1117070010011",가리봉동,"1117070",13778.49,4639.941,0.337,"437",광명
인구밀집지역,POI022,남구로역,"1117070010013",가리봉동,"1117070",14035.33,13272.112,0.946,"437",광명
인구밀집지역,POI022,남구로역,"1117070010009",가리봉동,"1117070",26210.51,26210.492,1.000,"437",광명
인구밀집지역,POI022,남구로역,"1117070010019",가리봉동,"1117070",11882.04,4467.680,0.376,"437",광명
인구밀집지역,POI022,남구로역,"1117070010002",가리봉동,"1117070",44559.12,3642.393,0.082,"437",광명
인구밀집지역,POI022,남구로역,"1117070010005",가리봉동,"1117070",17467.37,17361.795,0.994,"437",광명
인구밀집지역,POI022,남구로역,"1117054020102",구로3동,"1117054",6406.31,6406.311,1.000,"437",광명
인구밀집지역,POI022,남구로역,"1117054020004",구로3동,"1117054",7544.05,7543.967,1.000,"437",광명
인구밀집지역,POI022,남구로역,"1117055020103",구로4동,"1117055",4724.86,1358.456,0.288,"437",광명
인구밀집지역,POI023,대림역,"1119071010004",대림2동,"1119071",21944.64,21944.637,1.000,"410",기상청
인구밀집지역,POI023,대림역,"1119071010007",대림2동,"1119071",30644.95,30644.953,1.000,"410",기상청
인구밀집지역,POI023,대림역,"1119071010010",대림2동,"1119071",19217.35,7814.733,0.407,"410",기상청
인구밀집지역,POI023,대림역,"1119071010009",대림2동,"1119071",16346.16,8328.719,0.510,"410",기상청
인구밀집지역,POI023,대림역,"1119071010008",대림2동,"1119071",48932.02,10747.157,0.220,"410",기상청
인구밀집지역,POI023,대림역,"1119071010001",대림2동,"1119071",20868.79,20868.792,1.000,"410",기상청
인구밀집지역,POI023,대림역,"1119071010002",대림2동,"1119071",18710.97,13264.697,0.709,"410",기상청
인구밀집지역,POI023,대림역,"1119072050004",대림3동,"1119072",40547.25,1988.769,0.049,"410",기상청
인구밀집지역,POI023,대림역,"1119072050007",대림3동,"1119072",31287.83,31287.826,1.000,"410",기상청
인구밀집지역,POI023,대림역,"1119072050001",대림3동,"1119072",56366.37,56366.295,1.000,"410",기상청
인구밀집지역,POI023,대림역,"1119072050003",대림3동,"1119072",14375.63,14373.534,1.000,"410",기상청
인구밀집지역,POI023,대림역,"1119072050008",대림3동,"1119072",10024.29,7068.351,0.705,"410",기상청
인구밀집지역,POI023,대림역,"1119072050201",대림3동,"1119072",3029.96,3029.960,1.000,"410",기상청
인구밀집지역,POI023,대림역,"1117054010002",구로3동,"1117054",158768.71,15447.490,0.097,"410",기상청
인구밀집지역,POI023,대림역,"1117054010001",구로3동,"1117054",31603.40,31603.379,1.000,"410",기상청
인구밀집지역,POI023,대림역,"1117054010701",구로3동,"1117054",7290.68,7290.679,1.000,"410",기상청
인구밀집지역,POI023,대림역,"1117054010703",구로3동,"1117054",3993.79,3993.790,1.000,"410",기상청
인구밀집지역,POI023,대림역,"1117054010702",구로3동,"1117054",4103.47,4103.431,1.000,"410",기상청
인구밀집지역,POI023,대림역,"1117055010003",구로4동,"1117055",18613.06,18576.153,0.998,"410",기상청
인구밀집지역,POI023,대림역,"1117055010002",구로4동,"1117055",14213.83,14182.334,0.998,"410",기상청
인구밀집지역,POI023,대림역,"1117055010005",구로4동,"1117055",21176.75,21170.497,1.000,"410",기상청
인구밀집지역,POI023,대림역,"1117055010004",구로4동,"1117055",22412.46,22412.462,1.000,"410",기상청
인구밀집지역,POI023,대림역,"1117055010006",구로4동,"1117055",84135.34,23952.105,0.285,"410",기상청
인구밀집지역,POI023,대림역,"1117055010701",구로4동,"1117055",6060.65,6060.648,1.000,"410",기상청
인구밀집지역,POI023,대림역,"1117055011001",구로4동,"1117055",7034.77,7034.771,1.000,"410",기상청
인구밀집지역,POI023,대림역,"1117055011002",구로4동,"1117055",11979.10,11979.099,1.000,"410",기상청
인구밀집지역,POI024,동대문역,"1101063010002",종로5·6가동,"1101063",46466.33,20135.822,0.433,,
인구밀집지역,POI024,동대문역,"1101063030002",종로5·6가동,"1101063",109287.71,24953.748,0.228,,
인구밀집지역,POI024,동대문역,"1101063040001",종로5·6가동,"1101063",127139.16,46424.647,0.365,,
인구밀집지역,POI024,동대문역,"1101067020001",창신1동,"1101067",53325.70,32404.116,0.608,,
인구밀집지역,POI024,동대문역,"1101067020002",창신1동,"1101067",46936.16,25459.699,0.542,,
인구밀집지역,POI024,동대문역,"1101068010009",창신2동,"1101068",12385.86,11186.048,0.903,,
인구밀집지역,POI024,동대문역,"1101068010007",창신2동,"1101068",15795.72,12538.079,0.794,,
인구밀집지역,POI024,동대문역,"1101068010011",창신2동,"1101068",24022.70,24022.696,1.000,,
인구밀집지역,POI025,뚝섬역,"1104066010003",성수1가2동,"1104066",17395.51,9736.154,0.560,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066010002",성수1가2동,"1104066",15948.99,15948.987,1.000,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066010005",성수1가2동,"1104066",9133.00,9132.999,1.000,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066010004",성수1가2동,"1104066",32543.71,8476.451,0.260,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066010007",성수1가2동,"1104066",22139.13,22129.656,1.000,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066010006",성수1가2동,"1104066",34832.28,14338.633,0.412,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066010009",성수1가2동,"1104066",58972.64,22588.129,0.383,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066010010",성수1가2동,"1104066",14559.86,3283.829,0.226,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066010104",성수1가2동,"1104066",6821.39,6821.380,1.000,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066010101",성수1가2동,"1104066",3633.84,3633.841,1.000,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066010103",성수1가2동,"1104066",6814.61,6814.614,1.000,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066010102",성수1가2동,"1104066",5441.90,5441.899,1.000,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066010401",성수1가2동,"1104066",5676.21,5676.206,1.000,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066010402",성수1가2동,"1104066",5656.47,5656.472,1.000,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066010501",성수1가2동,"1104066",4551.83,4551.826,1.000,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066010601",성수1가2동,"1104066",16220.30,16218.831,1.000,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066020005",성수1가2동,"1104066",11129.01,11129.007,1.000,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066020003",성수1가2동,"1104066",24922.77,24922.770,1.000,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066020001",성수1가2동,"1104066",13747.39,13747.391,1.000,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066020008",성수1가2동,"1104066",26702.95,26701.835,1.000,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066020101",성수1가2동,"1104066",10277.65,3190.553,0.310,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066030002",성수1가2동,"1104066",36428.33,36428.318,1.000,"421",성동
인구밀집지역,POI025,뚝섬역,"1104066030001",성수1가2동,"1104066",55406.71,11762.593,0.212,"421",성동
인구밀집지역,POI026,미아사거리역,"1109071040004",송중동,"1109071",46246.22,46246.220,1.000,"414",성북
